SampleID	PC1	PC2	PC3	PC4	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample2a5SS1	-0.359983985	-0.0439312347	-0.0936912855	0.014155879	44.703	1.004	5.621	3.793	4435.076	494.577	34.716	3.4	5
Sample2a5SS2	-0.349408314	-0.0633760582	-0.1838224002	-0.075394365	44.941	0	1.506	22.627	5758.851	451.08	155.781	3.44	5
Sample2a5WPM	-0.376636473	-0.1302773109	-0.21284134	-0.036487585	44.989	0.942	2.011	21.908	7001.728	391.331	168.625	3.56	5
Sample2ARem	-0.123636554	0.1476510798	0.2106152963	0.020353963	42.3	0.133	1.588	0.029	1457.606	107.03	2.538	3.84	10
Sample2ASea	-0.071477515	0.1276738918	0.1966458433	0.076990374	36.291	0.575	1.354	0	1543.455	132.271	0.043	3.92	10
Sample2ATea	-0.193217009	0.1085896083	0.1258812345	-0.021161568	41.119	0.336	1.859	0.408	1359.935	120.344	4.624	3.88	10
Sample2AWes1	-0.1995749	0.1035812009	0.1617325502	0.097353055	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.59	10
Sample2AWes2	-0.186565634	0.1138215213	0.1823141558	0.069066746	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.41	10
Sample2AXXX	-0.042323	0.1409384182	0.2054875216	0.0305144	35.489	0.629	3.153	0.134	1433.038	137.092	1.858	3.7	10
Sample2AYes	-0.102487064	0.1730839266	0.1661841804	-0.033965428	42.621	0.782	1.747	0	1336.912	121.864	0.238	3.74	10
Sample2b10EJP	-0.336317751	-0.0629470633	-0.1642338269	-0.072601679	44.095	1.148	1.521	10.567	3084.424	280.627	88.461	3.547	10
Sample2b10LJP	-0.060936549	0.1668864883	0.132790561	-0.042908845	40.765	0.238	2.959	0.102	1072.711	99.186	0.153	3.76	10
Sample2b10SS1	-0.270698178	0.0579897021	0.1032288253	0.101456408	44.148	0.996	5.827	4.199	4146.511	421.988	17.459	3.36	10
Sample2b10SS2	-0.25809716	0.0685143259	0.1404609869	0.123121528	42.47	0	3.014	3.45	5145.083	389.358	23.293	3.36	10
Sample2b20LJP	0.186666402	0.176749156	0.0280330045	-0.183995897	2.396	0.624	0.367	0.774	56.164	4.535	0.239	5.11	20
Sample2b5LJP	-0.361590627	-0.0660006368	-0.1695726321	-0.0397096	41.487	0.846	3.448	2.652	3080.568	266.314	33.833	3.39	5
Sample2b5SS1	-0.359106295	-0.072980108	-0.1371590767	0.037143097	44.011	1.314	7.038	29.704	6874.197	688.145	157.685	3.47	5
Sample2b5SS2	-0.371431201	-0.055749031	-0.1662709344	-0.048920643	45.535	0	1.232	24.242	6446.222	429.588	179.866	3.49	5
Sample2b5WPM	-0.371542213	-0.1161232105	-0.1686328605	0.00554506	47.371	0.7	1.991	13.432	6690.152	365.789	153.488	3.47	5
Sample2BEas	-0.226739988	0.0380324264	0.176034327	0.137104114	44.399	0.204	2.436	0.442	2145.995	194.252	1.232	3.5	10
Sample2BOne	-0.080951928	0.1558062376	0.1650770418	-0.004054382	28.547	0.778	1.089	0.313	565.265	46.576	1.232	3.94	10
Sample2BRem	-0.200158603	0.0680553045	0.1683380637	0.096035667	42.693	0.419	4.828	0.33	2123.731	234.837	2.237	3.84	10
Sample2BTea	-0.012302733	0.1590413859	0.0970964697	-0.096001586	41.119	0.336	1.859	0.408	1359.935	120.344	4.624	3.88	10
Sample2BXXX	-0.040392743	0.1353114016	0.2002411105	0.029093925	36.987	0.249	7.564	0	286.591	16.419	0.297	3.92	10
Sample2BZeb	-0.194876977	0.0809333488	0.1490107486	0.103706473	39.229	0.957	2.162	0.334	1644.758	170.723	3.364	3.775	10
Sample2c5EJP	-0.321278897	0.0088602603	0.0378882821	0.083471128	42.832	0.915	2.234	1.653	3950.421	325.107	10.914	3.33	5
