SampleID	PC1	PC2	Depth	Frozen	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample1b10SS2	0.1513998585	0.0331932981	10	0	44.11	0	1.974	11.487	4105.243	331.184	59.809	3.46	10
Sample1b20LJP	-0.1772235096	0.0168664685	20	1	1.355	0.314	0.136	20.373	27.505	1.531	0.348	5.83	20
Sample1b5EJP	0.048018116	0.0586514965	5	1	45.921	1.366	2.094	3.91	4014.289	315.886	61.226	3.365	5
Sample1b5LJP	-0.0822694891	0.058029441	5	1	42.104	0	4.247	1.071	3185.964	287.885	9.675	3.65	5
Sample1b5SS1	0.0053484504	-0.0544222992	5	0	43.996	1.337	3.186	10.27	5963.069	357.868	106.578	3.34	5
Sample1b5SS2	0.0529985898	-0.0455789211	5	0	44.254	0	1.218	26.269	6569.332	409.147	170.946	3.54	5
Sample1BEas	0.0144669063	0.0221142532	5	1	43.11	0.025	2.725	2.152	3689.441	301.381	10.744	3.55	5
Sample1BRem	0.0106689135	0.0778324513	5	1	43.792	0.3	2.716	1.472	4065.695	315.259	13.208	3.4	5
Sample1BSea	-0.0716757906	0.0587751849	5	1	43.551	0.671	1.773	0.918	3492.591	293.985	6.759	3.36	5
Sample1BTea	-0.0330706611	-0.069967935	5	1	44.536	0.634	3.127	2.449	3109.801	359.866	22.019	3.38	5
Sample1BXXX	-0.1807138696	0.0257571182	5	1	39.947	0.108	4.84	0.18	1941.598	223.123	1.45	3.68	5
Sample1BYes	0.0541314923	0.072402115	5	1	42.688	0.904	3.128	0.333	3139.369	265.995	2.713	3.41	5
Sample1BZeb	-0.0599161142	0.0530601326	5	1	43.329	0.993	1.834	2.286	3846.935	346.243	35.956	3.47	5
Sample1CSea	0.001785395	0.0067737524	5	1	44.431	0.652	2.668	1.617	3778.092	339.432	13.208	3.365	5
Sample1CZeb	-0.0106103414	-0.0481632818	5	1	45.086	0.993	1.834	2.286	3846.935	346.243	35.956	3.47	5
Sample1EOne	-0.0252953216	0.0186682302	5	1	45.954	0.83	3.034	3.803	4354.135	364.81	10.744	3.42	5
Sample2a10EJP	0.1413599044	-0.0126723155	10	0	41.408	0.263	2.338	0.271	3570.892	280.733	6.697	3.33	10
Sample2a10LJP	-0.0320973472	-0.0336305122	10	1	37.878	0.185	2.611	0.347	1959.26	185.651	0.415	3.47	10
Sample2a10SS1	0.0394887771	0.0035419929	10	0	42.106	0.502	5.29	1.02	3260.16	198.18	1.44	3.485	10
Sample2a10SS2	-0.0411678407	0.0096344694	10	0	36.845	4.28	2.019	1.384	3634.817	251.11	7.901	3.363	10
Sample2a10WPM	0.0522904052	0.0718525869	10	0	45.539	0.719	0.932	7.153	6372.068	363.3	92.139	3.47	10
Sample2a20LJP	-0.0022400193	0.0156909823	20	1	5.372	1.04	0.484	0.596	130.305	10.7	0.468	4.63	20
Sample2a30LJP	-0.0884578383	0.0433591874	30	0	2.716	0.299	0.24	27.85	20.415	0.657	0	5.25	30
Sample2a5EJP	0.0971452774	0.1043899657	5	1	42.249	0.76	2.027	0.877	3387.424	298.617	15.096	3.32	5
Sample2a5LJP	-0.0891651659	0.0287907744	5	1	41.971	0.131	3.482	0.423	2720.981	280.31	3.251	3.47	5
Sample2a5SS1	0.0243589121	0.0277070817	5	0	44.703	1.004	5.621	3.793	4435.076	494.577	34.716	3.4	5
Sample2a5SS2	0.1099180433	0.0326485993	5	0	44.941	0	1.506	22.627	5758.851	451.08	155.781	3.44	5
Sample2a5WPM	0.0299851697	-0.0878964098	5	0	44.989	0.942	2.011	21.908	7001.728	391.331	168.625	3.56	5
Sample2ARem	-0.1079573999	0.0013522686	10	1	42.3	0.133	1.588	0.029	1457.606	107.03	2.538	3.84	10
Sample2ASea	-0.1354183506	-0.0144771816	10	1	36.291	0.575	1.354	0	1543.455	132.271	0.043	3.92	10
Sample2ATea	0.0286286652	0.0506720231	10	1	41.119	0.336	1.859	0.408	1359.935	120.344	4.624	3.88	10
Sample2AWes1	-0.0516431182	-0.0319938863	10	1	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.59	10
Sample2AWes2	-0.0421504249	-0.0251144819	10	1	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.41	10
Sample2AXXX	-0.0953541828	-0.0630207633	10	1	35.489	0.629	3.153	0.134	1433.038	137.092	1.858	3.7	10
Sample2AYes	-0.0242450028	0.0051475441	10	1	42.621	0.782	1.747	0	1336.912	121.864	0.238	3.74	10
Sample2b10EJP	0.2138678528	-0.0223319724	10	0	44.095	1.148	1.521	10.567	3084.424	280.627	88.461	3.547	10
Sample2b10LJP	-0.0186859846	0.0389565314	10	1	40.765	0.238	2.959	0.102	1072.711	99.186	0.153	3.76	10
Sample2b10SS1	0.0087327012	-0.0300927969	10	0	44.148	0.996	5.827	4.199	4146.511	421.988	17.459	3.36	10
Sample2b10SS2	-0.0221751139	0.0195161097	10	0	42.47	0	3.014	3.45	5145.083	389.358	23.293	3.36	10
Sample2b20LJP	-0.0376211584	0.0526717523	20	1	2.396	0.624	0.367	0.774	56.164	4.535	0.239	5.11	20
Sample2b5LJP	0.0333106228	-0.0374112905	5	1	41.487	0.846	3.448	2.652	3080.568	266.314	33.833	3.39	5
Sample2b5SS1	-0.051094538	-0.0093628885	5	0	44.011	1.314	7.038	29.704	6874.197	688.145	157.685	3.47	5
Sample2b5SS2	0.0380847191	-0.0067647329	5	0	45.535	0	1.232	24.242	6446.222	429.588	179.866	3.49	5
Sample2b5WPM	-0.026059271	-0.0803311821	5	0	47.371	0.7	1.991	13.432	6690.152	365.789	153.488	3.47	5
Sample2BEas	-0.0247265665	-0.0702054692	10	1	44.399	0.204	2.436	0.442	2145.995	194.252	1.232	3.5	10
Sample2BOne	-0.0604387636	-0.0318937388	10	1	28.547	0.778	1.089	0.313	565.265	46.576	1.232	3.94	10
Sample2BRem	-0.0756494004	0.0623209843	10	1	42.693	0.419	4.828	0.33	2123.731	234.837	2.237	3.84	10
Sample2BTea	0.0243759212	0.1003640489	10	1	41.119	0.336	1.859	0.408	1359.935	120.344	4.624	3.88	10
Sample2BXXX	-0.106904387	-0.0592093478	10	1	36.987	0.249	7.564	0	286.591	16.419	0.297	3.92	10
Sample2BZeb	-0.0251732674	0.0290751875	10	1	39.229	0.957	2.162	0.334	1644.758	170.723	3.364	3.775	10
Sample2c5EJP	-0.0399355512	0.0342196774	5	1	42.832	0.915	2.234	1.653	3950.421	325.107	10.914	3.33	5
Sample2CEas	0.0028453819	-0.0102899046	10	1	43.586	0.204	2.436	0.442	2145.995	194.252	1.232	3.63	10
Sample2CSea	-0.0651818684	0.0290210273	10	1	35.337	0.277	1.458	0	1428.619	126.15	0.729	3.86	10
Sample2CWes1	0.0567613516	-0.0335641649	10	1	42.437	0	3.503	0.442	3711.727	319.887	1.232	3.63	10
Sample2CWes2	0.1186939243	-0.0306675039	10	1	42.437	0	3.503	0.442	3711.727	319.887	1.232	3.63	10
Sample2CYes	0.0108735729	-0.0177142548	10	1	43.115	0.202	2.13	0	2263.267	207.357	2.025	3.77	10
Sample2CZeb	-0.0575868892	0.0845779516	10	1	37.931	0.957	2.162	0.334	1633.663	169.094	3.364	3.775	10
Sample2EOne	-0.0274011418	0.0445861308	10	1	46.855	0.449	3.885	0.57	2564.674	293.15	1.232	3.71	10
Sample3a10SS1	0.0689549391	-0.0272713332	10	0	44.045	0	6.737	9.709	4412.504	489.171	0.631	3.348	10
Sample3a10WPM	0.0265643671	-0.0190866383	10	0	45.373	0.565	1.666	2.617	4720.509	271.226	10.759	3.31	10
Sample3a5SS1	0.0433146032	-0.0312544023	5	0	43.853	0.042	7.139	35.237	4935.673	534.658	156.43	3.405	5
Sample3a5WPM	-0.0008561438	-0.0759268928	5	0	45.343	0.844	1.256	15.225	6977.526	319.496	120.586	3.515	5
Sample3AOne	-0.0376272892	-0.011082439	20	1	1.181	0.508	0.179	2.891	11.839	1.496	0.818	5.75	20
Sample3ARem	0.0358396349	0.0510751483	20	1	9.049	0.637	1.458	0.97	157.278	6.421	2.001	4.46	20
