SampleID	PC1	PC2	PC3	PC4	PC5	Depth	Frozen	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample2a10WPM	-0.289243866	0.030212261	0.22110068	0.098655411	-0.027177695	10	0	45.539	0.719	0.932	7.153	6372.068	363.3	92.139	3.47	10
Sample2a20LJP	0.020744376	-0.061116242	-0.037202781	0.04099669	-0.05215463	20	1	5.372	1.04	0.484	0.596	130.305	10.7	0.468	4.63	20
Sample2a30LJP	0.125680085	-0.089736552	0.061983555	-0.01271283	-0.0264008	30	0	2.716	0.299	0.24	27.85	20.415	0.657	0	5.25	30
Sample2a5EJP	0.177837631	0.143326968	-0.0425096734	0.143413858	0.1572387217	5	1	42.249	0.76	2.027	0.877	3387.424	298.617	15.096	3.32	5
Sample2a5LJP	0.217779495	-0.063079037	-0.0001899476	-0.011163695	-0.0475984399	5	1	41.971	0.131	3.482	0.423	2720.981	280.31	3.251	3.47	5
Sample2a5SS1	-0.00735772	0.066751239	-0.0353033172	-0.086701148	0.0513705178	5	0	44.703	1.004	5.621	3.793	4435.076	494.577	34.716	3.4	5
Sample2a5SS2	-0.107504775	0.140486802	0.0945689299	-0.018636439	0.0028637409	5	0	44.941	0	1.506	22.627	5758.851	451.08	155.781	3.44	5
Sample2a5WPM	-0.214393963	-0.093954098	-0.0227937163	0.060104945	-0.0269749656	5	0	44.989	0.942	2.011	21.908	7001.728	391.331	168.625	3.56	5
Sample2ARem	0.178032899	-0.011085229	0.043277145	0.015854572	-0.06832302	10	1	42.3	0.133	1.588	0.029	1457.606	107.03	2.538	3.84	10
Sample2ASea	0.191930087	-0.071343745	-0.006192544	0.084358443	-0.074647507	10	1	36.291	0.575	1.354	0	1543.455	132.271	0.043	3.92	10
Sample2ATea	0.055949976	0.107922996	0.024864912	-0.122254663	-0.023048954	10	1	41.119	0.336	1.859	0.408	1359.935	120.344	4.624	3.88	10
Sample2AWes1	0.02989008	-0.101086993	-0.082300004	-0.032789998	0.00559688	10	1	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.59	10
Sample2AWes2	0.092230795	-0.076293251	-0.054895222	0.011059871	-0.10009474	10	1	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.41	10
Sample2AXXX	0.202979299	-0.065224468	-0.056388484	0.185779343	0.12668559	10	1	35.489	0.629	3.153	0.134	1433.038	137.092	1.858	3.7	10
Sample2AYes	0.165898523	0.143138223	-0.03325459	-0.04073264	0.002814299	10	1	42.621	0.782	1.747	0	1336.912	121.864	0.238	3.74	10
Sample2b10EJP	-0.322655641	0.182588766	-0.066967967	0.153397553	-0.045578957	10	0	44.095	1.148	1.521	10.567	3084.424	280.627	88.461	3.547	10
Sample2b10LJP	0.165831057	0.180690822	-0.034445804	-0.031859432	0.005326067	10	1	40.765	0.238	2.959	0.102	1072.711	99.186	0.153	3.76	10
Sample2b10SS1	-0.090143519	-0.100860519	-0.03170667	-0.064371984	-0.028757982	10	0	44.148	0.996	5.827	4.199	4146.511	421.988	17.459	3.36	10
Sample2b10SS2	-0.044304656	-0.114681312	0.025644878	-0.134685735	0.062268832	10	0	42.47	0	3.014	3.45	5145.083	389.358	23.293	3.36	10
Sample2b20LJP	-0.006337295	-0.113830216	-0.12259354	0.104072216	-0.02645664	20	1	2.396	0.624	0.367	0.774	56.164	4.535	0.239	5.11	20
Sample2b5LJP	-0.105503978	0.002056872	-0.0008246446	-0.076459795	-0.0376720539	5	1	41.487	0.846	3.448	2.652	3080.568	266.314	33.833	3.39	5
Sample2b5SS1	-0.071267271	-0.012651638	-0.0803509246	-0.067440451	0.0074775576	5	0	44.011	1.314	7.038	29.704	6874.197	688.145	157.685	3.47	5
Sample2b5SS2	-0.115704387	0.046021527	0.0149909399	-0.032040546	-0.0500955441	5	0	45.535	0	1.232	24.242	6446.222	429.588	179.866	3.49	5
Sample2b5WPM	-0.127486874	-0.109417994	-0.070642215	0.047066718	0.0057292235	5	0	47.371	0.7	1.991	13.432	6690.152	365.789	153.488	3.47	5
Sample2BEas	0.008921726	-0.21955553	0.035976043	0.057969701	-0.032123477	10	1	44.399	0.204	2.436	0.442	2145.995	194.252	1.232	3.5	10
Sample2BOne	0.180051292	0.08838472	-0.071692601	0.085777534	0.088048083	10	1	28.547	0.778	1.089	0.313	565.265	46.576	1.232	3.94	10
