SampleID	PC1	PC2	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample2b10EJP	-0.2380931851	-0.0228261291	44.095	1.148	1.521	10.567	3084.424	280.627	88.461	3.547	10
Sample2b10LJP	-0.0788385383	-0.010206897	40.765	0.238	2.959	0.102	1072.711	99.186	0.153	3.76	10
Sample2b10SS1	-0.1459242354	-0.0064414426	44.148	0.996	5.827	4.199	4146.511	421.988	17.459	3.36	10
Sample2b10SS2	-0.1420602612	0.0007698306	42.47	0	3.014	3.45	5145.083	389.358	23.293	3.36	10
Sample2b20LJP	0.0470180309	0.0850127056	2.396	0.624	0.367	0.774	56.164	4.535	0.239	5.11	20
Sample2b5LJP	-0.18764711	-0.0423389152	41.487	0.846	3.448	2.652	3080.568	266.314	33.833	3.39	5
Sample2b5SS1	-0.1828596413	-0.0228517023	44.011	1.314	7.038	29.704	6874.197	688.145	157.685	3.47	5
Sample2b5SS2	-0.2100760049	-0.0391660885	45.535	0	1.232	24.242	6446.222	429.588	179.866	3.49	5
Sample2b5WPM	-0.1722838801	-0.0489966484	47.371	0.7	1.991	13.432	6690.152	365.789	153.488	3.47	5
Sample2BEas	-0.1502324283	-0.0137889037	44.399	0.204	2.436	0.442	2145.995	194.252	1.232	3.5	10
Sample2BOne	-0.1026380526	0.0001937894	28.547	0.778	1.089	0.313	565.265	46.576	1.232	3.94	10
Sample2BRem	-0.0687946113	-0.0369661429	42.693	0.419	4.828	0.33	2123.731	234.837	2.237	3.84	10
Sample2BTea	-0.0753021215	0.0111309224	41.119	0.336	1.859	0.408	1359.935	120.344	4.624	3.88	10
Sample2BXXX	-0.0840032978	0.0174510032	36.987	0.249	7.564	0	286.591	16.419	0.297	3.92	10
Sample2BZeb	-0.110014993	-0.0118761722	39.229	0.957	2.162	0.334	1644.758	170.723	3.364	3.775	10
Sample2c5EJP	-0.1847319675	-0.0285555239	42.832	0.915	2.234	1.653	3950.421	325.107	10.914	3.33	5
Sample2CEas	-0.1463292678	-0.0226671823	43.586	0.204	2.436	0.442	2145.995	194.252	1.232	3.63	10
Sample2CSea	-0.0551325451	-0.0307787742	35.337	0.277	1.458	0	1428.619	126.15	0.729	3.86	10
Sample2CWes1	-0.2041674347	-0.008247241	42.437	0	3.503	0.442	3711.727	319.887	1.232	3.63	10
Sample2CWes2	-0.2221683558	-0.0071392769	42.437	0	3.503	0.442	3711.727	319.887	1.232	3.63	10
Sample2CYes	-0.1418581396	-0.0104651248	43.115	0.202	2.13	0	2263.267	207.357	2.025	3.77	10
Sample2CZeb	-0.0562210795	-0.0116312258	37.931	0.957	2.162	0.334	1633.663	169.094	3.364	3.775	10
Sample2EOne	-0.1013627482	-0.0467851217	46.855	0.449	3.885	0.57	2564.674	293.15	1.232	3.71	10
Sample3a10SS1	-0.1843537083	-0.0023062763	44.045	0	6.737	9.709	4412.504	489.171	0.631	3.348	10
Sample3a10WPM	-0.1723189959	-0.0030949568	45.373	0.565	1.666	2.617	4720.509	271.226	10.759	3.31	10
Sample3a5SS1	-0.1942414506	-0.0351359712	43.853	0.042	7.139	35.237	4935.673	534.658	156.43	3.405	5
Sample3a5WPM	-0.1691465845	-0.0452662773	45.343	0.844	1.256	15.225	6977.526	319.496	120.586	3.515	5
Sample3AOne	0.0991381532	0.0843879057	1.181	0.508	0.179	2.891	11.839	1.496	0.818	5.75	20
Sample3ARem	-0.0155080609	0.0428627354	9.049	0.637	1.458	0.97	157.278	6.421	2.001	4.46	20
Sample3ATea	0.0213127444	0.0640531749	3.251	0.192	0.333	1.965	53.096	3.809	0.755	4.96	20
Sample3AWes	-0.0774070704	0.0196811334	2.126	0.079	0.482	1.525	70.683	6.144	0.818	4.89	20
Sample3AYes	-0.0071589652	0.0576889782	3.321	0	0.38	3.937	39.532	2.865	1.089	4.623	20
Sample3AZeb	0.1071717119	0.0689629566	4.594	0.32	0.452	3.539	57.798	5.404	1.372	4.42	20
Sample3b10WPM	-0.1795903843	-0.0338794128	44.094	0.477	1.472	4.074	5395.984	298.258	32.341	3.24	10
Sample3b5SS2	-0.1693917975	-0.066217009	43.803	0	1.714	6.034	4812.309	354.671	80.74	3.41	5
Sample3b5WPM	-0.2043552716	-0.0375128154	44.749	0.663	1.774	10.539	5901.208	328.409	97.774	3.495	5
Sample3BEas	0.0520078612	0.0309301528	1.613	0.269	0.481	1.525	70.622	5.912	0.818	5.37	20
Sample3BOne	-0.0145876801	0.0600488611	6.982	0.487	0.728	0.159	14.194	4.761	0.818	4.335	20
Sample3BRem	0.0588741025	0.0474418022	1.842	0.637	0.324	1.346	31.716	2.147	1.625	5.215	20
Sample3BSea	0.0122286494	0.0724312882	2.072	0.841	0.319	2.025	40.797	3.784	0.699	5.395	20
Sample3BTea	0.0841625448	0.0652165451	3.408	0.493	0.514	2.407	60.592	3.548	1.116	4.96	20
Sample3BWes	0.0127710952	0.0498099686	5.427	0	0.534	1.525	185.773	11.249	0.818	4.495	20
Sample3BXXX	0.0827339865	0.0822897139	4.718	0.237	0.543	2.127	17.209	2.654	0.284	4.58	20
Sample3CSea	0.1526475686	0.1356622894	0.827	0.156	0.134	5.729	20.074	1.577	0.502	6.02	20
Sample3CXXX	0.0440839152	0.0777972493	2.189	0.302	0.372	4.421	14.29	3.359	0.568	4.95	20
Sample3CYes	0.0152173563	0.0391877022	3.895	0.281	0.437	4.268	50.731	4.33	3.547	4.625	20
