SampleName	PD	Chao1	ObservedOTUs	iteration	Depth
Sample4EOne	67.85497	977.762886598	595	0	30
Sample5a10WPM	56.1841	855.782608696	562	0	10
Sample5a5WPM	50.06732	910.576923077	549	0	5
Sample5ARem	68.98705	994.6375	593	0	40
Sample5ASea	65.02721	958.61627907	585	0	40
Sample5ATea	64.36224	925.023255814	566	0	40
Sample5AXXX	67.64804	956.835443038	566	0	40
Sample5AZeb	68.27573	1080.92592593	609	0	40
Sample5b5WPM	57.86787	1042.875	651	0	5
Sample5BRem	70.4162	1148.20512821	633	0	40
Sample5BSea	70.23117	1071.67647059	658	0	40
Sample5BTea	62.40995	984.8	553	0	40
Sample5BXXX	59.56655	888.512820513	542	0	40
Sample5BYes	63.51841	977.666666667	589	0	40
Sample5CYes	73.32051	1071.63551402	680	0	40
Sample5CZeb	66.14502	1018.51111111	618	0	40
Sample6ARem	64.5598	818.229166667	565	0	50
Sample6ASea	57.18754	721.943820225	487	0	50
Sample6ATea	69.21879	889.854166667	601	0	50
Sample6BRem	68.54708	912.510204082	610	0	50
Sample6BSea	64.34634	928.179775281	570	0	50
Sample6BTea	68.48992	861.879120879	580	0	50
SampleFiEas	71.77058	1033.62393162	668	0	40
SampleFiiEas	67.39142	1085.71	655	0	40
SampleFiiiRem	52.40211	500.098360656	371	0	60
SampleFiiiYes	66.6698	1065.15151515	555	0	50
SampleFiiOne	66.11967	1054.61445783	604	0	40
SampleFiiWes	75.46953	1195.125	740	0	40
SampleFiOne	59.7293	1083.77647059	611	0	40
SampleFivSea	61.18818	731.038961039	470	0	60
SampleFivTea	46.29559	557.083333333	363	0	60
SampleFiWes	66.27901	952.5	576	0	40
SampleFiXXX	66.21357	1002.65957447	596	0	50
SampleFiYes	62.13646	820.404761905	531	0	50
SampleFiZeb	66.46625	974.444444444	584	0	50
SampleFviiiXXX	61.05723	714	525	0	50
SampleFviiSea	58.12895	736.6	417	0	60
SampleFviZeb	67.02224	1042.703125	568	0	50
SampleFvRem	55.32386	683.120689655	396	0	60
SampleFvTea	48.6661	490.865384615	337	0	60
Samplep1bEJP	66.49731	1169.10989011	663	0	20
Samplep2aEJP	63.5291	1105	661	0	20
Samplep3cEJP	58.67913	937.793814433	588	0	20
Sample1a10EJP	50.87808	862.461538462	568	1	10
Sample1a10LJP	58.64525	1045.51086957	636	1	10
Sample1a10SS2	56.33086	903.662650602	561	1	10
Sample1a20LJP	64.4521	1081.84269663	611	1	20
Sample1a30LJP	67.81815	1014.6	624	1	30
Sample1a5EJP	53.38026	910.7	584	1	5
Sample1a5LJP	57.55329	1084.18604651	630	1	5
Sample1a5SS1	51.26129	845.325842697	552	1	5
Sample1a5SS2	49.38546	859.369047619	554	1	5
Sample1AOne	58.91235	1075.03960396	663	1	5
Sample1ARem	46.83765	895.552238806	536	1	5
Sample1ASea	49.30712	970.935897436	559	1	5
Sample1ATea	52.79525	1058.81111111	631	1	5
Sample1AWes	54.93854	957.043010753	595	1	5
Sample1AXXX	51.76313	870.483146067	572	1	5
Sample1AYes	51.22373	915.682926829	563	1	5
Sample1b10EJP	58.66489	986.61627907	586	1	10
Sample1b10SS1	53.19294	947.987341772	554	1	10
Sample1b10SS2	55.48391	972.431578947	593	1	10
Sample1b20LJP	59.64258	753.694736842	507	1	20
Sample1b5EJP	53.56647	1011.44303797	572	1	5
Sample1b5LJP	56.27904	1030.01176471	590	1	5
Sample1b5SS1	57.57368	1001.69090909	674	1	5
Sample1b5SS2	53.44958	943.833333333	584	1	5
Sample1BEas	53.89166	875.571428571	576	1	5
Sample1BRem	54.07991	1018.65957447	612	1	5
Sample1BSea	59.74956	1186.84615385	693	1	5
Sample1BTea	51.16673	927.542168675	582	1	5
Sample1BXXX	50.52722	861.01369863	528	1	5
Sample1BYes	61.32992	1071.44347826	663	1	5
Sample1BZeb	53.24126	962.738636364	586	1	5
Sample1CSea	57.95227	1038.7244898	643	1	5
Sample1CZeb	50.88578	955.918604651	594	1	5
Sample1EOne	53.89905	888.239130435	566	1	5
Sample2a10EJP	55.66499	1101.16304348	633	1	10
Sample2a10LJP	53.16788	1117.64285714	595	1	10
Sample2a10SS1	64.45737	1281.26190476	685	1	10
Sample2a10SS2	55.3382	996.070588235	603	1	10
Sample2a10WPM	46.94339	882.394366197	540	1	10
Sample2a20LJP	69.01135	1105.64705882	663	1	20
Sample2a30LJP	59.44058	842.573033708	531	1	30
Sample2a5EJP	44.72336	831.1875	465	1	5
Sample2a5LJP	59.77111	1101.78571429	683	1	5
Sample2a5SS1	57.11659	1119.05825243	666	1	5
Sample2a5SS2	48.50234	930.5375	563	1	5
Sample2a5WPM	46.02157	799.583333333	512	1	5
Sample2ARem	56.05484	916.583333333	578	1	10
Sample2ASea	61.68068	1024.30107527	628	1	10
Sample2ATea	53.286	953.451923077	612	1	10
Sample2AWes1	53.11039	855.158536585	556	1	10
Sample2AWes2	58.90138	1098.97468354	629	1	10
Sample2AXXX	56.56667	988.329411765	583	1	10
Sample2AYes	61.93854	1030.38461538	633	1	10
Sample2b10EJP	53.18552	912.733333333	543	1	10
Sample2b10LJP	64.15859	1006.66371681	661	1	10
Sample2b10SS1	58.48672	1132.97826087	668	1	10
Sample2b10SS2	54.27166	953.205128205	570	1	10
Sample2b20LJP	66.32199	1051.22580645	613	1	20
Sample2b5LJP	56.99492	953.34375	608	1	5
Sample2b5SS1	52.76077	1121.8630137	602	1	5
Sample2b5SS2	50.41376	960.181818182	572	1	5
Sample2b5WPM	46.99176	810.873563218	539	1	5
Sample2BEas	52.60939	927.379310345	581	1	10
Sample2BOne	55.68016	1037.01176471	597	1	10
Sample2BRem	54.31899	946.265822785	571	1	10
Sample2BTea	57.40823	964.153846154	597	1	10
Sample2BXXX	59.80117	975.00952381	624	1	10
Sample2BZeb	60.68574	1171.76923077	681	1	10
Sample2c5EJP	57.66899	932.142857143	599	1	5
Sample2CEas	58.70686	1064.01075269	641	1	10
Sample2CSea	65.79391	1143.11111111	691	1	10
Sample2CWes1	48.87941	849.585365854	534	1	10
Sample2CWes2	50.61974	936.6	551	1	10
Sample2CYes	59.332	1071.54455446	648	1	10
Sample2CZeb	61.57792	1232.1375	664	1	10
Sample2EOne	55.09154	900.555555556	564	1	10
Sample3a10SS1	58.46293	1151.03296703	668	1	10
Sample3a10WPM	48.37158	816.205479452	504	1	10
Sample3a5SS1	48.46928	999.3875	572	1	5
Sample3a5WPM	49.4083	891.512820513	536	1	5
Sample3AOne	67.87337	1171.14606742	633	1	20
Sample3ARem	60.94649	1077.68	579	1	20
Sample3ATea	61.53361	1028.01098901	614	1	20
Sample3AWes	69.03936	1168	688	1	20
Sample3AYes	68.5139	1101.34259259	655	1	20
Sample3AZeb	59.12568	1035.56338028	554	1	20
Sample3b10WPM	51.18321	987.884057971	544	1	10
Sample3b5SS2	56.03846	1000.90526316	641	1	5
Sample3b5WPM	53.01447	969.2	558	1	5
Sample3BEas	66.82367	1017.15178571	643	1	20
Sample3BOne	62.16671	1129.57303371	629	1	20
Sample3BRem	69.55137	1143.24719101	656	1	20
Sample3BSea	64.64601	997.333333333	614	1	20
Sample3BTea	68.84692	1050.77586207	682	1	20
Sample3BWes	61.2366	1036.78481013	594	1	20
Sample3BXXX	58.97042	924.619047619	560	1	20
Sample3CSea	62.38915	979.285714286	562	1	20
Sample3CXXX	68.4958	1131.0326087	637	1	20
Sample3CYes	76.13426	1222.59433962	732	1	20
Sample3CZeb	67.73623	1045.23076923	616	1	20
Sample4a10WPM	50.9323	881.279069767	545	1	10
Sample4a5WPM	49.27224	948.846153846	553	1	5
Sample4AEas	71.28901	1029.8974359	684	1	30
Sample4ARem	66.69961	1053.15463918	633	1	30
Sample4ASea	64.0213	891.563218391	548	1	30
Sample4ATea	69.44467	1016.91919192	628	1	30
Sample4AWes	75.97202	1205.14423077	680	1	30
Sample4AYes	75.40418	1242.67924528	699	1	30
Sample4AZeb	64.27023	1080.75903614	600	1	30
Sample4BEas	71.67579	1094.03738318	686	1	30
Sample4BRem	69.59679	1045.3627451	643	1	30
Sample4BSea	54.45745	792.014084507	477	1	30
Sample4BTea	68.68733	1020.40384615	634	1	30
Sample4BXXX	62.02861	834.3	557	1	30
Sample4BYes	73.72489	1044.85714286	643	1	30
Sample4CEas	65.80427	989.96039604	641	1	30
Sample4CWes	61.35203	1013.79411765	545	1	30
Sample4CXXX	67.40249	1044.75862069	599	1	30
Sample4CZeb	63.08075	1028.15853659	582	1	30
Sample4DEas	71.35838	1276.98837209	661	1	30
Sample4DOne	64.58017	1118.62162162	587	1	30
Sample4EOne	65.47019	994.533333333	582	1	30
Sample5a10WPM	56.1841	855.782608696	562	1	10
Sample5a5WPM	50.42211	1009.85185185	578	1	5
Sample5ARem	66.65771	885.653061224	593	1	40
Sample5ASea	61.96857	857.315217391	561	1	40
Sample5ATea	64.16027	827.666666667	557	1	40
Sample5AXXX	65.49885	920.895348837	579	1	40
Sample5AZeb	69.53892	956.833333333	597	1	40
Sample5b5WPM	60.12952	1216.13513514	642	1	5
Sample5BRem	66.92974	931.06122449	598	1	40
Sample5BSea	71.19058	1142	654	1	40
Sample5BTea	61.0335	748.538461538	521	1	40
Sample5BXXX	62.07777	992.413333333	564	1	40
Sample5BYes	65.37725	914.359550562	573	1	40
Sample5CYes	70.07465	963.526315789	659	1	40
Sample5CZeb	69.32612	1072.44318182	619	1	40
Sample6ARem	64.24631	865.678571429	563	1	50
Sample6ASea	55.85552	757.915492958	486	1	50
Sample6ATea	72.62722	986.676470588	628	1	50
Sample6BRem	68.50825	946.96	618	1	50
Sample6BSea	64.20382	951	574	1	50
Sample6BTea	67.6135	816.533980583	589	1	50
SampleFiEas	68.04911	1015.26315789	633	1	40
SampleFiiEas	72.41843	1246.75	685	1	40
SampleFiiiRem	54.27525	607.296875	401	1	60
SampleFiiiYes	62.50495	863.976470588	546	1	50
SampleFiiOne	63.81511	988.569767442	591	1	40
SampleFiiWes	73.66137	1173.28	739	1	40
SampleFiOne	62.89192	972.787878788	595	1	40
SampleFivSea	60.24249	705.328947368	459	1	60
SampleFivTea	47.77302	614.157894737	391	1	60
SampleFiWes	65.81758	1011.2027027	577	1	40
SampleFiXXX	66.69723	1058.65909091	602	1	50
SampleFiYes	65.71418	895.917647059	550	1	50
SampleFiZeb	66.58221	988.764705882	567	1	50
SampleFviiiXXX	63.60677	924.467532468	552	1	50
SampleFviiSea	56.76341	585.888888889	407	1	60
SampleFviZeb	65.99176	954.625	581	1	50
SampleFvRem	56.98467	609.246153846	396	1	60
SampleFvTea	50.22866	511.2	354	1	60
Samplep1bEJP	67.04722	1179.31111111	654	1	20
Samplep2aEJP	65.23845	1126.22222222	677	1	20
Samplep3cEJP	57.78368	927.26744186	574	1	20
Sample1a10EJP	54.84193	1080.36144578	603	2	10
Sample1a10LJP	59.55311	1054.91919192	649	2	10
Sample1a10SS2	55.96	958	583	2	10
Sample1a20LJP	61.56109	983.26	601	2	20
Sample1a30LJP	65.98739	903.382978723	588	2	30
Sample1a5EJP	52.07228	926.529411765	572	2	5
Sample1a5LJP	55.29218	973.674418605	603	2	5
Sample1a5SS1	54.17382	1004	593	2	5
Sample1a5SS2	48.4941	917.5	556	2	5
Sample1AOne	62.92688	1161.19266055	690	2	5
Sample1ARem	54.72705	889.670103093	579	2	5
Sample1ASea	49.36507	909.62195122	554	2	5
Sample1ATea	56.47674	1189.64705882	662	2	5
Sample1AWes	54.67156	970.682926829	585	2	5
Sample1AXXX	49.78055	904.6	570	2	5
Sample1AYes	53.80478	1005.03370787	597	2	5
Sample1b10EJP	57.09724	874.784090909	565	2	10
Sample1b10SS1	51.38066	928	556	2	10
Sample1b10SS2	56.31572	1053.23863636	603	2	10
Sample1b20LJP	56.66086	747.270588235	494	2	20
Sample1b5EJP	54.62909	893.041237113	567	2	5
Sample1b5LJP	53.39533	890.967391304	574	2	5
Sample1b5SS1	56.94235	1034.62831858	679	2	5
Sample1b5SS2	51.48182	984	591	2	5
Sample1BEas	54.39707	1023.44303797	584	2	5
Sample1BRem	53.37734	981.011494253	594	2	5
Sample1BSea	60.90778	1094.06315789	656	2	5
Sample1BTea	52.47333	949.180722892	592	2	5
Sample1BXXX	55.01788	970.278688525	531	2	5
Sample1BYes	61.22234	1071.65384615	649	2	5
Sample1BZeb	52.87886	988.461538462	570	2	5
Sample1CSea	53.8768	902.35	601	2	5
Sample1CZeb	49.82141	978.5	602	2	5
Sample1EOne	50.24077	958.068965517	577	2	5
Sample2a10EJP	54.02111	953.782608696	599	2	10
Sample2a10LJP	56.00454	954.436170213	599	2	10
Sample2a10SS1	61.5974	1106.71	676	2	10
Sample2a10SS2	59.4586	1105.19230769	608	2	10
Sample2a10WPM	50.10631	924.307692308	574	2	10
Sample2a20LJP	69.34266	1121.37837838	673	2	20
Sample2a30LJP	64.72853	906.036144578	540	2	30
Sample2a5EJP	48.37291	765.034883721	490	2	5
Sample2a5LJP	58.393	1042.59375	653	2	5
Sample2a5SS1	55.68531	1082.38709677	638	2	5
Sample2a5SS2	50.37762	882.12371134	579	2	5
Sample2a5WPM	43.99974	803.295774648	503	2	5
Sample2ARem	57.27848	898.2	597	2	10
Sample2ASea	62.52726	1190.04878049	654	2	10
Sample2ATea	54.94399	888.510204082	586	2	10
Sample2AWes1	50.14461	845.674157303	560	2	10
Sample2AWes2	57.20229	1157.06756757	633	2	10
Sample2AXXX	56.72764	969.048780488	571	2	10
Sample2AYes	58.93592	1034.81818182	616	2	10
Sample2b10EJP	55.0908	1038.93333333	569	2	10
Sample2b10LJP	64.86167	1027.66371681	667	2	10
Sample2b10SS1	58.38734	1129.05825243	676	2	10
Sample2b10SS2	53.88015	917.272727273	551	2	10
Sample2b20LJP	67.69875	1044.71428571	623	2	20
Sample2b5LJP	55.26958	1063.3253012	616	2	5
Sample2b5SS1	51.53178	988.846153846	593	2	5
Sample2b5SS2	50.74692	995.739130435	559	2	5
Sample2b5WPM	46.51106	790.129411765	527	2	5
Sample2BEas	52.86487	864.923076923	573	2	10
Sample2BOne	56.43081	1097.66666667	616	2	10
Sample2BRem	56.77806	1154.42857143	578	2	10
Sample2BTea	57.95826	1073.18390805	621	2	10
Sample2BXXX	57.81283	929.098039216	599	2	10
Sample2BZeb	60.8802	1026.89130435	638	2	10
Sample2c5EJP	54.65593	996.695238095	630	2	5
Sample2CEas	57.44466	1143.08	626	2	10
Sample2CSea	67.84392	1132.03030303	679	2	10
Sample2CWes1	49.78367	820.804878049	535	2	10
Sample2CWes2	50.84565	926.142857143	530	2	10
Sample2CYes	61.15678	1133.01219512	636	2	10
Sample2CZeb	57.99675	921.247524752	618	2	10
Sample2EOne	50.0554	924.380952381	535	2	10
Sample3a10SS1	63.08694	1185.5	701	2	10
Sample3a10WPM	47.93282	769.25	508	2	10
Sample3a5SS1	50.46373	881.90625	568	2	5
Sample3a5WPM	48.19017	856.638554217	531	2	5
Sample3AOne	67.62139	1224.66666667	638	2	20
Sample3ARem	65.29105	1022.84337349	595	2	20
Sample3ATea	64.20502	1057.36363636	637	2	20
Sample3AWes	69.40013	1173.64705882	698	2	20
Sample3AYes	66.62439	968.891891892	627	2	20
Sample3AZeb	61.08838	952.5	567	2	20
Sample3b10WPM	48.37598	785.222222222	522	2	10
Sample3b5SS2	52.85395	1031	641	2	5
Sample3b5WPM	50.47686	883.8	564	2	5
Sample3BEas	66.05073	1081.37894737	628	2	20
Sample3BOne	64.85317	1054.65	621	2	20
Sample3BRem	69.52352	1064.18811881	655	2	20
Sample3BSea	63.37879	969.6875	597	2	20
Sample3BTea	72.12387	1219.44329897	680	2	20
Sample3BWes	61.46643	1095.39189189	601	2	20
Sample3BXXX	60.36603	968.6375	567	2	20
Sample3CSea	60.87256	926	551	2	20
Sample3CXXX	70.45468	1302.32978723	682	2	20
Sample3CYes	76.10187	1253.70731707	760	2	20
Sample3CZeb	66.3134	1143.4375	616	2	20
Sample4a10WPM	52.91428	785.534883721	523	2	10
Sample4a5WPM	51.72414	934.666666667	542	2	5
Sample4AEas	76.74496	1231.00884956	727	2	30
Sample4ARem	63.39064	908.057142857	614	2	30
Sample4ASea	62.52728	951.117647059	555	2	30
Sample4ATea	65.66324	935.363636364	590	2	30
Sample4AWes	73.64277	1341	666	2	30
Sample4AYes	78.39712	1120.58088235	719	2	30
Sample4AZeb	69.07316	1093.35869565	622	2	30
Sample4BEas	71.14438	1100.3	698	2	30
Sample4BRem	68.87527	1008.91666667	625	2	30
Sample4BSea	54.87108	806.2	485	2	30
Sample4BTea	65.11065	980.2	624	2	30
Sample4BXXX	64.02913	897.081395349	558	2	30
Sample4BYes	69.24131	907.254098361	627	2	30
Sample4CEas	71.99874	1205.23584906	690	2	30
Sample4CWes	62.53262	832.873684211	536	2	30
Sample4CXXX	67.98268	1022.64705882	608	2	30
Sample4CZeb	60.13834	961.6375	560	2	30
Sample4DEas	68.50565	1167.3655914	659	2	30
Sample4DOne	65.64949	1096.24719101	609	2	30
Sample4EOne	61.08227	1002.26744186	580	2	30
Sample5a10WPM	56.1841	855.782608696	562	2	10
Sample5a5WPM	49.64114	1072.31884058	573	2	5
Sample5ARem	68.92903	999.164835165	606	2	40
Sample5ASea	66.23084	927.632183908	567	2	40
Sample5ATea	64.24488	989.652173913	560	2	40
Sample5AXXX	67.83487	1174.2173913	600	2	40
Sample5AZeb	66.19158	932.75	609	2	40
Sample5b5WPM	59.22804	1148.57303371	648	2	5
Sample5BRem	72.598	1087.22891566	630	2	40
Sample5BSea	73.1474	1047.23076923	669	2	40
Sample5BTea	64.45557	893.5	541	2	40
Sample5BXXX	58.58924	846.223684211	535	2	40
Sample5BYes	64.75047	1004.26506024	586	2	40
Sample5CYes	72.13421	1064.69444444	674	2	40
Sample5CZeb	66.59891	1122.55844156	608	2	40
Sample6ARem	65.59075	836.913043478	563	2	50
Sample6ASea	57.3932	803.181818182	496	2	50
Sample6ATea	70.18401	959.494623656	614	2	50
Sample6BRem	70.16117	1079.23529412	636	2	50
Sample6BSea	69.2945	998.583333333	579	2	50
Sample6BTea	70.48424	840.254545455	605	2	50
SampleFiEas	70.23485	951.900826446	654	2	40
SampleFiiEas	73.44186	1276.53846154	680	2	40
SampleFiiiRem	54.42214	613.161290323	408	2	60
SampleFiiiYes	63.38315	938.62195122	556	2	50
SampleFiiOne	65.01403	1000.17647059	601	2	40
SampleFiiWes	75.44546	1284.62857143	739	2	40
SampleFiOne	63.44574	1003.79787234	603	2	40
SampleFivSea	60.82373	708.034482759	477	2	60
SampleFivTea	49.13976	658.5	375	2	60
SampleFiWes	66.91964	831.923076923	555	2	40
SampleFiXXX	67.9206	1099.6	610	2	50
SampleFiYes	65.65565	1040.95890411	569	2	50
SampleFiZeb	67.80291	882.529411765	570	2	50
SampleFviiiXXX	65.12039	958.666666667	557	2	50
SampleFviiSea	54.66509	561.96875	392	2	60
