id,label,timeset,abundance,componentnumber,component
159,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,,23033,2,
3932,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,,23001,0,
126,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__,,22855,0,
1000,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__,,22730,8,
69,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae,,22456,2,
96,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acidocella; s__,,22370,2,
6173,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__,,22161,2,
82,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,,21993,0,
95,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__,,21736,2,
106,k__Bacteria; p__Acidobacteria; c__iii1-8; o__SJA-36; f__; g__; s__,,21720,0,
66,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__,,21533,0,
53,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,,21449,0,
636,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,,20930,2,
6841,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Afipia; s__,,20543,1,
135,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,,19964,2,
70,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__,,19711,0,
6147,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__,,19472,2,
108,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__KD8-87; f__; g__; s__,,18931,0,
63,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__; s__,,18694,2,
90,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__,,18417,0,
258,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__,,18223,2,
5888,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,,18083,2,
4276,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales,,18048,2,
77,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__JH-WHS99; f__; g__; s__,,18012,2,
72,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,,17963,2,
3063,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__,,17897,2,
273,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,,16991,0,
114,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,,16825,2,
201,k__Bacteria; p__Acidobacteria; c__TM1; o__; f__; g__; s__,,16592,0,
91,k__Bacteria; p__Chlorobi; c__; o__; f__; g__; s__,,16246,0,
167,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__,,15979,2,
180,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__,,15670,2,
110,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,,15580,4,
220,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__,,15339,2,
143,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__,,15291,2,
5054,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__,,14974,2,
97,k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__; g__; s__,,14862,0,
6701,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__,,14715,0,
131,k__Bacteria; p__Acidobacteria; c__iii1-8; o__DS-18; f__; g__; s__,,14588,0,
6132,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__,,14527,7,
2702,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__,,13906,2,
410,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__,,13805,2,
875,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__,,13730,2,
98,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dokdonella; s__,,13688,0,
85,k__Bacteria; p__AD3,,13624,0,
178,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__A21b; f__EB1003; g__; s__,,13476,2,
136,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__,,13198,5,
84,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,,12993,0,
275,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,,12938,2,
115,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia,,12628,2,
146,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria,,12413,0,
103,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Ellin5290; f__; g__; s__,,12308,0,
